RCN;CODE;Title;ShortTitle;language
664087;H2020-EC;Horizon 2020 Framework Programme;EC Treaty;en
664087;H2020-EC;Rahmenprogramm Horizont 2020;EC Treaty;de
664087;H2020-EC;Programa Marco Horizonte 2020;EC Treaty;es
664087;H2020-EC;Programme-cadre Horizon 2020;EC Treaty;fr
664087;H2020-EC;Programma quadro Orizzonte 2020;EC Treaty;it
664087;H2020-EC;Program ramowy „Horyzont 2020”;EC Treaty;pl
664091;H2020-EU.1.;PRIORITY 'Excellent science';Excellent Science;en
664091;H2020-EU.1.;"SCHWERPUNKT ""Wissenschaftsexzellenz""";Excellent Science;de
664091;H2020-EU.1.;"PRIORIDAD ""Ciencia excelente""";Excellent Science;es
664091;H2020-EU.1.;PRIORITÉ «Excellence scientifique»;Excellent Science;fr
664091;H2020-EU.1.;"PRIORITÀ ""Eccellenza scientifica""";Excellent Science;it
664091;H2020-EU.1.;PRIORYTET „Doskonała baza naukowa”;Excellent Science;pl
664099;H2020-EU.1.1.;EXCELLENT SCIENCE - European Research Council (ERC);European Research Council (ERC);en
664099;H2020-EU.1.1.;"WISSENSCHAFTSEXZELLENZ - Für das Einzelziel ""Europäischer Forschungsrat (ERC)""";European Research Council (ERC);de
664099;H2020-EU.1.1.;CIENCIA EXCELENTE - Consejo Europeo de Investigación (CEI);European Research Council (ERC);es
664099;H2020-EU.1.1.;EXCELLENCE SCIENTIFIQUE - Conseil européen de la recherche (CER);European Research Council (ERC);fr
664099;H2020-EU.1.1.;ECCELLENZA SCIENTIFICA - Consiglio europeo della ricerca (CER);European Research Council (ERC);it
664099;H2020-EU.1.1.;DOSKONAŁA BAZA NAUKOWA - Europejska Rada ds. Badań Naukowych (ERBN);European Research Council (ERC);pl
664101;H2020-EU.1.2.;EXCELLENT SCIENCE - Future and Emerging Technologies (FET);Future and Emerging Technologies (FET);en
664101;H2020-EU.1.2.;WISSENSCHAFTSEXZELLENZ - Künftige und neu entstehende Technologien (FET);Future and Emerging Technologies (FET);de
664101;H2020-EU.1.2.;CIENCIA - Tecnologías Futuras y Emergentes (FET);Future and Emerging Technologies (FET);es
664101;H2020-EU.1.2.;EXCELLENCE SCIENTIFIQUE - Technologies futures et émergentes (FET);Future and Emerging Technologies (FET);fr
664101;H2020-EU.1.2.;ECCELLENZA SCIENTIFICA - Tecnologie emergenti future (TEF);Future and Emerging Technologies (FET);it
664101;H2020-EU.1.2.;DOSKONAŁA BAZA NAUKOWA - Przyszłe i Powstające Technologie (FET);Future and Emerging Technologies (FET);pl
664103;H2020-EU.1.2.1.;FET Open;FET Open;en
664103;H2020-EU.1.2.1.;FET – offener Bereich;FET Open;de
664103;H2020-EU.1.2.1.;FET Open;FET Open;es
664103;H2020-EU.1.2.1.;FET Open;FET Open;fr
664103;H2020-EU.1.2.1.;TEF aperte;FET Open;it
664103;H2020-EU.1.2.1.;FET Open;FET Open;pl
664105;H2020-EU.1.2.2.;FET Proactive;FET Proactive;en
664105;H2020-EU.1.2.2.;FET – proaktiver Bereich;FET Proactive;de
664105;H2020-EU.1.2.2.;FET Proactive;FET Proactive;es
664105;H2020-EU.1.2.2.;FET Proactive;FET Proactive;fr
664105;H2020-EU.1.2.2.;TEF proattive;FET Proactive;it
664105;H2020-EU.1.2.2.;FET Proactive;FET Proactive;pl
664107;H2020-EU.1.2.3.;FET Flagships;FET Flagships;en
664107;H2020-EU.1.2.3.;FET – Leitinitiativen;FET Flagships;de
664107;H2020-EU.1.2.3.;FET Flagships;FET Flagships;es
664107;H2020-EU.1.2.3.;FET Flagships;FET Flagships;fr
664107;H2020-EU.1.2.3.;TEF faro;FET Flagships;it
664107;H2020-EU.1.2.3.;FET Flagships;FET Flagships;pl
664109;H2020-EU.1.3.;EXCELLENT SCIENCE - Marie Skłodowska-Curie Actions;Marie-Sklodowska-Curie Actions;en
664109;H2020-EU.1.3.;WISSENSCHAFTSEXZELLENZ- Marie Skłodowska-Curie Maßnahmen;Marie-Sklodowska-Curie Actions;de
664109;H2020-EU.1.3.;CIENCIA EXCELENTE - Acciones Marie Skłodowska-Curie;Marie-Sklodowska-Curie Actions;es
664109;H2020-EU.1.3.;EXCELLENCE SCIENTIFIQUE - Actions Marie Skłodowska-Curie;Marie-Sklodowska-Curie Actions;fr
664109;H2020-EU.1.3.;ECCELLENZA SCIENTIFICA - Azioni Marie Skłodowska-Curie;Marie-Sklodowska-Curie Actions;it
664109;H2020-EU.1.3.;DOSKONAŁA BAZA NAUKOWA - Działania „Maria Skłodowska-Curie”;Marie-Sklodowska-Curie Actions;pl
664111;H2020-EU.1.3.1.;Fostering new skills by means of excellent initial training of researchers;MCSA Initial training;en
664111;H2020-EU.1.3.1.;Förderung neuer Fähigkeiten durch eine exzellente Erstausbildung von Forschern;MCSA Initial training;de
664111;H2020-EU.1.3.1.;Fomento de nuevas aptitudes mediante una formación inicial excelente de los investigadores;MCSA Initial training;es
664111;H2020-EU.1.3.1.;Promouvoir de nouvelles compétences par une formation initiale d'excellence des chercheurs;MCSA Initial training;fr
664111;H2020-EU.1.3.1.;Promuovere nuove competenze grazie ad una formazione iniziale di eccellenza dei ricercatori;MCSA Initial training;it
664111;H2020-EU.1.3.1.;Wspieranie nowych umiejętności poprzez najwyższej jakości wstępne szkolenie naukowców;MCSA Initial training;pl
664113;H2020-EU.1.3.2.;Nurturing excellence by means of cross-border and cross-sector mobility;MSCA Mobility;en
664113;H2020-EU.1.3.2.;Förderung von Exzellenz durch grenz- und sektorübergreifende Mobilität;MSCA Mobility;de
664113;H2020-EU.1.3.2.;Cultivar la excelencia mediante la movilidad transfronteriza e intersectorial;MSCA Mobility;es
664113;H2020-EU.1.3.2.;Cultiver l'excellence par la mobilité transfrontalière et intersectorielle;MSCA Mobility;fr
664113;H2020-EU.1.3.2.;Sviluppare l'eccellenza attraverso la mobilità transfrontaliera e intersettoriale;MSCA Mobility;it
664113;H2020-EU.1.3.2.;Sprzyjanie najwyższej jakości poprzez transgraniczną i międzysektorową mobilność;MSCA Mobility;pl
664115;H2020-EU.1.3.3.;Stimulating innovation by means of cross-fertilisation of knowledge;MSCA Knowledge;en
664115;H2020-EU.1.3.3.;Innovationsanreize durch die gegenseitige Bereicherung mit Wissen;MSCA Knowledge;de
664115;H2020-EU.1.3.3.;Estimular la innovación mediante la fertilización cruzada de conocimientos;MSCA Knowledge;es
664115;H2020-EU.1.3.3.;Encourager l'innovation par la fertilisation croisée des connaissances;MSCA Knowledge;fr
664115;H2020-EU.1.3.3.;Promuovere l'innovazione attraverso l'arricchimento reciproco delle conoscenze;MSCA Knowledge;it
664115;H2020-EU.1.3.3.;Stymulowanie innowacji poprzez proces wzajemnej inspiracji w dziedzinie wiedzy;MSCA Knowledge;pl
664117;H2020-EU.1.3.4.;Increasing structural impact by co-funding activities;MSCA Co-funding;en
664117;H2020-EU.1.3.4.;Steigerung der strukturellen Wirkung durch die Kofinanzierung von Tätigkeiten;MSCA Co-funding;de
